GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookReviewer,org,Review,0,63,0,0,0,22,0,11,0,11
bookReviewer,org,ExtractData,17,308,3,19,5,72,6,30,3,22
bookReviewer,org,Book,3,118,0,0,1,34,1,17,1,17
bookReviewer,org,Author,0,42,1,1,0,13,1,6,0,6
bookReviewer,org,ExtractDataset,9,213,0,4,6,38,0,10,0,8
bookReviewer,org,MainClass,37,378,8,10,19,75,9,34,1,33
bookReviewer,org,User,0,29,0,0,0,10,0,5,0,5
